Round,Training Time,Iterations
0,1.15,836
1,1.16,844
2,1.15,835
3,1.16,841
4,1.16,838
5,1.16,844
6,1.16,840
7,1.16,843
8,1.14,831
9,1.15,837
10,1.16,843
11,1.17,845
12,1.17,845
13,1.15,839
14,1.15,837
15,1.15,840
16,1.15,839
17,1.16,841
18,1.15,837
19,1.13,836
20,1.16,846
21,1.15,845
22,1.13,818
23,1.17,845
24,1.16,840
25,1.16,837
26,1.15,834
27,1.15,834
28,1.17,847
29,1.16,837
30,1.15,833
31,1.17,848
32,1.16,843
33,1.16,840
34,1.17,847
35,1.14,836
36,1.16,842
37,1.15,841
38,1.15,843
39,1.16,843
40,1.14,831
41,1.14,836
42,1.15,837
43,1.16,849
44,1.15,839
45,1.16,839
46,1.15,834
47,1.16,844
48,1.17,843
49,1.16,839
50,1.16,841
51,1.17,849
52,1.16,839
53,1.15,834
54,1.16,842
55,1.17,846
56,1.16,840
57,1.16,848
58,1.15,839
59,1.14,838
60,1.16,844
61,1.16,843
62,1.16,844
63,1.16,845
64,1.15,837
65,1.22,837
66,1.14,835
67,1.15,838
68,1.17,841
69,1.16,834
70,1.17,846
71,1.16,839
72,1.17,846
73,1.17,847
74,1.17,847
75,1.15,831
76,1.16,836
77,1.17,842
78,1.17,848
79,1.17,844
80,1.13,823
81,1.16,844
82,1.15,837
83,1.15,835
84,1.16,843
85,1.16,845
86,1.14,832
87,1.2,833
88,1.15,840
89,1.15,837
90,1.16,847
91,1.16,838
92,1.17,846
93,1.16,838
94,1.16,834
95,1.17,839
96,1.17,843
97,1.16,841
98,1.16,839
99,1.18,848
