Round,Training Time,Trees
0,2.16,80
1,2.15,80
2,2.12,80
3,2.15,80
4,2.14,80
5,2.14,80
6,2.17,80
7,2.15,80
8,2.15,80
9,2.15,80
10,2.14,80
11,2.15,80
12,2.14,80
13,2.12,80
14,2.12,80
15,2.14,80
16,2.15,80
17,2.15,80
18,2.14,80
19,2.13,80
20,2.14,80
21,2.14,80
22,2.15,80
23,2.15,80
24,2.17,80
25,2.18,80
26,2.13,80
27,2.14,80
28,2.14,80
29,2.16,80
30,2.15,80
31,2.15,80
32,2.13,80
33,2.15,80
34,2.13,80
35,2.14,80
36,2.15,80
37,2.16,80
38,2.15,80
39,2.17,80
40,2.15,80
41,2.16,80
42,2.18,80
43,2.16,80
44,2.17,80
45,2.15,80
46,2.17,80
47,2.16,80
48,2.16,80
49,2.16,80
50,2.15,80
51,2.15,80
52,2.15,80
53,2.17,80
54,2.14,80
55,2.15,80
56,2.15,80
57,2.15,80
58,2.14,80
59,2.14,80
60,2.16,80
61,2.15,80
62,2.15,80
63,2.14,80
64,2.16,80
65,2.15,80
66,2.15,80
67,2.14,80
68,2.13,80
69,2.13,80
70,2.16,80
71,2.16,80
72,2.14,80
73,2.15,80
74,2.16,80
75,2.14,80
76,2.14,80
77,2.15,80
78,2.16,80
79,2.16,80
80,2.14,80
81,2.14,80
82,2.16,80
83,2.15,80
84,2.14,80
85,2.15,80
86,2.15,80
87,2.14,80
88,2.15,80
89,2.16,80
90,2.16,80
91,2.15,80
92,2.17,80
93,2.17,80
94,2.15,80
95,2.15,80
96,2.14,80
97,2.17,80
98,2.15,80
99,2.16,80
