Round,Training Time,Trees
0,1.04,80
1,0.98,80
2,0.99,80
3,0.99,80
4,0.99,80
5,0.98,80
6,0.98,80
7,0.98,80
8,0.99,80
9,0.99,80
10,1.0,80
11,0.98,80
12,0.99,80
13,0.99,80
14,0.99,80
15,1.0,80
16,0.98,80
17,1.0,80
18,0.99,80
19,1.0,80
20,0.98,80
21,0.98,80
22,0.99,80
23,0.99,80
24,0.98,80
25,0.99,80
26,1.0,80
27,0.98,80
28,0.99,80
29,0.99,80
30,0.99,80
31,0.99,80
32,0.99,80
33,0.99,80
34,0.98,80
35,1.0,80
36,1.0,80
37,0.99,80
38,0.98,80
39,0.98,80
40,0.99,80
41,0.98,80
42,0.98,80
43,0.99,80
44,0.98,80
45,0.99,80
46,0.97,80
47,1.0,80
48,0.98,80
49,0.99,80
50,0.99,80
51,0.98,80
52,0.99,80
53,0.99,80
54,0.99,80
55,1.0,80
56,0.98,80
57,0.98,80
58,0.98,80
59,0.99,80
60,0.99,80
61,1.0,80
62,0.99,80
63,1.0,80
64,0.99,80
65,0.99,80
66,1.01,80
67,1.0,80
68,0.99,80
69,0.99,80
70,0.99,80
71,0.99,80
72,0.99,80
73,1.0,80
74,0.99,80
75,1.0,80
76,0.99,80
77,0.98,80
78,0.99,80
79,1.0,80
80,1.0,80
81,0.99,80
82,0.98,80
83,0.99,80
84,0.98,80
85,1.0,80
86,1.0,80
87,0.99,80
88,0.99,80
89,0.99,80
90,0.99,80
91,1.0,80
92,0.98,80
93,1.0,80
94,0.99,80
95,1.0,80
96,0.99,80
97,1.0,80
98,1.0,80
99,0.98,80
